,dteday,temp_es,windspeed_es,casual,dia_sem_encoded,laborables_0,laborables_1,weathersit_encoded,month_encoded,year_0,year_1
0,01-01-2018,-0.8276133293387934,-0.38783297265473177,331,4,1,0,2,1,1,0
1,02-01-2018,-0.722068842565749,0.7488989093411889,131,3,0,1,2,1,1,0
2,03-01-2018,-1.6354322811546653,0.7459310420548092,120,1,0,1,3,1,1,0
3,04-01-2018,-1.6155596824333776,-0.38976853827628377,108,1,0,1,3,1,1,0
4,05-01-2018,-1.4682258970291537,-0.04647661963780552,82,0,0,1,3,1,1,0
5,06-01-2018,-1.591795639738064,-1.3024625707087933,88,1,1,0,3,1,1,0
6,07-01-2018,-1.6345687303851484,-0.2809897503450565,148,2,1,0,2,1,1,0
7,08-01-2018,-1.8068525744149713,0.9845862831921816,68,4,0,1,2,1,1,0
8,09-01-2018,-1.9526013615713476,2.2123284607134814,54,3,0,1,3,1,1,0
9,10-01-2018,-1.884282471577921,0.42279481342209296,41,1,0,1,3,1,1,0
10,11-01-2018,-1.7844931680979226,-0.8822280474823765,43,1,0,1,2,1,1,0
11,12-01-2018,-1.7646205693766346,1.4726456065519453,25,0,0,1,3,1,1,0
12,13-01-2018,-1.8068525744149713,1.4258436298228165,38,1,1,0,3,1,1,0
13,14-01-2018,-1.8294251356687994,-0.8252449955838828,54,2,1,0,3,1,1,0
14,15-01-2018,-1.433377797621307,-0.41987303557682404,222,4,1,0,2,1,1,0
15,16-01-2018,-1.4424833392796306,-0.02669513898554297,251,3,0,1,3,1,1,0
16,17-01-2018,-1.7476446915910682,0.04535951721943588,117,1,0,1,2,1,1,0
17,18-01-2018,-1.5244660072717424,-0.5642404234029889,9,1,0,1,2,1,1,0
18,19-01-2018,-1.1117816531330509,0.22988343980740159,78,0,0,1,2,1,1,0
19,20-01-2018,-1.2785180032954075,0.06970893273856113,83,1,1,0,2,1,1,0
20,21-01-2018,-1.7385336844215449,2.0999624244969777,75,2,1,0,3,1,1,0
21,22-01-2018,-2.3854840588988155,-0.2391299178362898,93,4,0,1,3,1,1,0
22,23-01-2018,-2.181121489985919,0.7238784977399259,150,3,0,1,3,1,1,0
23,24-01-2018,-2.1763686814468564,-0.41513735168942645,86,1,0,1,3,1,1,0
24,25-01-2018,-1.4872404104921244,-0.783333547991875,186,1,0,1,2,1,1,0
25,26-01-2018,-1.5199132364425805,1.3335816685288335,34,0,0,1,1,1,1,0
26,27-01-2018,-1.6428872384307478,-0.9892648263542068,15,1,1,0,3,1,1,0
27,28-01-2018,-1.5965506344816063,-0.8671564431758906,38,2,1,0,2,1,1,0
28,29-01-2018,-1.6345687303851484,-0.5824347402455787,123,4,0,1,3,1,1,0
29,30-01-2018,-1.525258506395666,-1.5035368697381104,140,3,0,1,3,1,1,0
30,31-01-2018,-1.720317135593698,-0.04270871856118397,42,1,0,1,2,1,1,0
31,01-02-2018,-1.6583327730804618,-1.7715430279606985,47,1,0,1,2,2,1,0
32,02-02-2018,-1.2876290104649308,0.9523784712495544,72,0,0,1,2,2,1,0
33,03-02-2018,-1.6868463450081181,1.125856766023863,61,1,1,0,3,2,1,0
34,04-02-2018,-1.5537775438345223,-0.8085862274677246,88,2,1,0,2,2,1,0
35,05-02-2018,-1.433377797621307,-0.3796648857317817,100,4,0,1,2,2,1,0
